RBD/COD JUNJI;DV;Establecimiento;Comuna;Dirección;LAT;LONG;Primer Día de Recuperación;Días de Recuperación ;Observación;;
9895;7;ESCUELA BÁSICA REINA DE SUECIA;MAIPÚ;Av Arquitecto Hugo Bravo #1677;-33,4736724;-70,75601668;07/12/2026;6;;;
9896;5;LICEO MAIPÚ DE LAS ARTES Y LA TECNOLOGÍA;MAIPÚ;Camino a Melipilla #8720;-33,51075376;-70,72421283;07/12/2026;6;;;
12255;6;COLEGIO ALCÁZAR;MAIPÚ;Av Parque Central Poniente #500;-33,55705055;-70,79134011;21/12/2026;6;SIN JEC;;
24883;5;ESCUELA BÁSICA MUNICIPAL SAN LUIS;MAIPÚ;Avenida Las Naciones #2020;-33,51233642;-70,78513792;07/12/2026;6;;;
25042;2;ESCUELA BÁSICA LOS BOSQUINOS;MAIPÚ;Av El Olimpo #650;-33,52949773;-70,77341876;21/12/2026;6;SIN JEC;;
25186;0;COLEGIO MUNIC. SAN SEBASTIAN DE RINCONADA;MAIPÚ;La Galaxia #2370;-33,50871344;-70,79543767;21/12/2026;6;SIN JEC;;
25314;6;ESCUELA BÁSICA 1737 LOS ALERCES DE MAIPÚ;MAIPÚ;Glorias Navales #2040, Villa Arturo Prat;-33,53906923;-70,77792176;21/12/2026;6;SIN JEC;;
25539;4;EJERCITO LIBERTADOR DE CERRILLOS;CERRILLOS;Rosa Ester Rodríguez #6902;-33,48898782;-70,72318235;09/12/2026;7;;;
25770;2;LICEO NACIONAL DE MAIPÚ;MAIPÚ;Av Portales #2471;-33,519165;-70,79245418;09/12/2026;7;;;
31065;4;LICEO TECNOLÓGICO BICENTENARIO ENRIQUE KIRBERG BALTIANSKY;MAIPÚ;Av El Conquistador #1561;-33,528244;-70,79683;07/12/2026;6;;;
31074;3;LICEO BICENTENARIO DE NIÑAS DE MAIPÚ;MAIPÚ;Av Ingeniero Eduardo Domínguez #1377;-33,491425;-70,78401;09/12/2026;7;;;
13102007;35384;SALOMON SACK;CERRILLOS;Salomón Sack #925;-33,49367772;-70,718424;;;;;
13102008;35386;CARDENAL RAÚL SILVA HENRÍQUEZ;CERRILLOS;Cardenal San Francisco Fresno #240;-33,48038681;-70,71986758;;;;;
13102009;35387;EL MIRADOR;CERRILLOS;Avda Las Torres #7590;-33,50098866;-70,73322725;;;;;
13102010;35388;ANGEL FANTUZI;CERRILLOS;Diputado Angel Fantuzzi #7621;-33,51393232;-70,70207295;;;;;
13102011;35389;RÍO MAGDALENA;CERRILLOS;Rio Magdalena #540;-33,5059458;-70,73343926;;;;;
13102013;35390;ORESTE PLATH;CERRILLOS;Cost Nte. del Ferrocarril #6893;-33,48606758;-70,72142411;;;;;
13102014;35391;VILLA MÉXICO;CERRILLOS;Golfo de México #361;-33,50925707;-70,73753538;;;;;
13106017;35470;AVELUZ;ESTACIÓN CENTRAL;Aeropuerto #1041;-33,47445739;-70,71233854;;;;;
13106018;35471;LOS ANGELITOS DE VILLA FRANCIA;ESTACIÓN CENTRAL;Las Estepas #845;-33,47188248;-70,71458065;;;;;
13106019;35472;LAS LUCIÉRNAGAS;ESTACIÓN CENTRAL;Padre Vicente Irarrázabal #1700;-33,47013488;-70,6924714;;;;;
13106021;35474;DUENDES Y ESTRELLITAS.;ESTACIÓN CENTRAL;Curacaví 808;-33,47241978;-70,72153618;;;;;
13106022;35475;ARTEMISA;ESTACIÓN CENTRAL;Transit #485;-33,45996898;-70,700744;;;;;
13106023;35476;KIMELÜ;ESTACIÓN CENTRAL;Pasaje Magallanes 6234;-33,47034112;-70,70177439;;;;;
13106024;35477;MIS PRIMERAS HUELLAS;ESTACIÓN CENTRAL;Pje. Coyhaique #6225;-33,47319184;-70,70106605;;;;;
13106025;35478;AYELÉN;ESTACIÓN CENTRAL;Huillinco #6062;-33,47420798;-70,70546249;;;;;
13106026;35479;ESTACIÓN ALEGRÍA;ESTACIÓN CENTRAL;Calle Diagonal #4687;-33,47655705;-70,69760106;;;;;
